attendance_pct,study_hours_wk,quiz_avg,assign_avg,midterm,lms_logins_wk,forum_posts,passed
78,21,73,81,82,3,12,1
91,28,72,42,94,20,7,0
68,1,66,89,36,20,4,0
54,21,95,52,33,3,12,0
82,13,46,69,73,19,5,1
47,10,69,66,41,26,18,0
60,10,67,58,78,20,10,0
78,13,90,41,68,27,15,0
97,24,38,47,56,21,4,0
58,2,90,76,59,6,11,1
62,22,45,65,73,14,16,0
50,17,31,60,78,21,1,0
50,14,72,66,40,16,9,0
63,10,71,86,36,17,14,1
92,25,86,54,32,6,18,0
75,3,96,74,45,29,19,0
79,17,59,93,72,18,16,0
63,12,42,48,32,27,18,0
42,24,48,78,52,9,18,0
61,29,36,82,34,26,12,0
92,25,38,77,76,12,12,0
41,26,83,50,39,1,15,0
63,1,90,69,28,21,2,0
83,20,31,87,86,26,3,0
69,28,79,68,28,19,6,0
77,16,60,37,65,27,2,0
41,17,62,39,97,10,8,0
99,28,40,44,79,4,7,0
60,12,62,86,52,5,17,0
72,27,36,63,71,2,13,0
51,30,60,65,33,0,19,1
97,34,77,71,26,2,4,0
61,6,76,61,91,2,2,0
83,7,82,67,72,21,9,0
64,32,48,93,93,3,10,0
88,32,35,98,98,6,16,0
66,25,78,78,52,28,7,1
98,33,79,83,38,14,8,0
81,7,41,87,70,10,7,0
67,12,52,83,37,17,19,0
99,16,83,97,40,11,1,0
55,16,98,59,64,3,3,0
54,13,88,38,96,23,15,0
86,7,65,85,54,10,8,0
90,9,32,45,89,5,8,0
83,32,87,51,82,25,4,0
94,11,84,63,72,18,2,1
91,8,86,54,73,25,13,0
96,33,46,61,26,27,14,0
42,23,68,42,38,17,5,0
76,25,97,95,41,14,15,1
90,8,84,62,55,2,9,1
46,22,74,37,34,16,13,0
60,4,30,41,94,0,11,0
48,3,50,94,61,1,8,0
78,29,50,38,88,29,18,0
57,29,81,39,54,18,11,0
43,34,72,45,58,28,12,0
64,34,81,49,42,8,12,0
99,28,96,98,87,7,16,1
53,13,73,47,73,11,1,0
89,15,61,41,80,26,19,0
97,23,39,40,82,26,8,0
48,26,93,90,51,14,7,0
65,4,98,98,79,24,6,1
92,26,97,84,43,22,4,0
41,9,57,64,47,6,18,0
59,5,82,56,71,20,2,0
67,32,80,59,90,15,12,0
86,20,82,62,75,6,5,1
99,11,33,73,52,19,10,0
46,15,46,39,81,20,3,0
83,32,96,99,82,11,2,1
47,28,76,49,39,16,3,0
86,22,85,74,40,10,2,1
74,17,52,77,71,3,12,1
53,26,47,35,87,18,14,0
